Fecha;Interno;Patente;SOH [%];Terminal
03-01-2025;7171;SRVL15;92;JUANITA
03-01-2025;7189;STHF67;92;JUANITA
03-01-2025;7151;SRVH13;92;JUANITA
03-01-2025;7154;SRVH45;92;JUANITA
03-01-2025;7121;SRVF74;92;JUANITA
03-01-2025;7171;SRVL15;93;JUANITA
03-01-2025;7165;SRVK11;92;JUANITA
03-01-2025;7170;SRVL11;92;JUANITA
03-01-2025;7158;SRVJ39;92;JUANITA
03-01-2025;7148;SRVG98;92;JUANITA
03-01-2025;7178;SRVL72;92;JUANITA
03-01-2025;7156;SRVH73;92;JUANITA
03-01-2025;7025;SPZX43;93;JUANITA
03-01-2025;7131;SRVG32;92;JUANITA
03-01-2025;7147;SRVG94;92;JUANITA
03-01-2025;7159;SRVJ43;93;JUANITA
03-01-2025;7125;SRVF83;92;JUANITA
03-01-2025;7128;SRVF96;92;JUANITA
03-01-2025;7190;STHF69;92;JUANITA
03-01-2025;7028;SPZX52;93;JUANITA
03-01-2025;7183;STHD12;92;JUANITA
03-01-2025;7152;SRVH19;92;JUANITA
03-01-2025;7155;SRVH71;94;JUANITA
03-01-2025;7137;SRVG68;94;JUANITA
03-01-2025;7169;SRVK97;92;JUANITA
03-01-2025;7172;SRVL21;92;JUANITA
03-01-2025;7094;SPZY68;92;JUANITA
03-01-2025;7144;SRVG88;94;JUANITA
03-01-2025;7149;SRVH10;93;JUANITA
03-01-2025;7145;SRVG91;94;JUANITA
03-01-2025;7176;SRVL40;92;JUANITA
03-01-2025;7180;SRVL78;92;JUANITA
03-01-2025;7161;SRVJ64;94;JUANITA
03-01-2025;7134;SRVG49;92;JUANITA
03-01-2025;7173;SRVL24;92;JUANITA
03-01-2025;7142;SRVG83;92;JUANITA
03-01-2025;7126;SRVF84;92;JUANITA
03-01-2025;7123;SRVF79;92;JUANITA
03-01-2025;7141;SRVG81;91;JUANITA
03-01-2025;7187;STHF56;93;JUANITA
04-01-2025;7138;SRVG70;93;JUANITA
04-01-2025;7129;SRVG10;92;JUANITA
04-01-2025;7132;SRVG44;92;JUANITA
04-01-2025;7124;SRVF81;92;JUANITA
04-01-2025;7136;SRVG65;93;JUANITA
04-01-2025;7168;SRVK90;92;JUANITA
04-01-2025;7185;STHD26;94;JUANITA
04-01-2025;7182;STHC95;92;JUANITA
04-01-2025;7162;SRVJ78;92;JUANITA
04-01-2025;7108;SRVJ10;94;JUANITA
04-01-2025;3118;STHP52;93;SANTA MARTA
04-01-2025;3123;STHR46;92;SANTA MARTA
04-01-2025;7127;SRVF90;92;JUANITA
04-01-2025;3119;STHP97;92;SANTA MARTA
04-01-2025;3055;STHB12;92;SANTA MARTA
04-01-2025;3116;STHL95;92;SANTA MARTA
04-01-2025;3054;STGZ85;92;SANTA MARTA
04-01-2025;3090;STHJ74;93;SANTA MARTA
04-01-2025;3053;STGZ62;92;SANTA MARTA
04-01-2025;7181;STHC57;93;JUANITA
04-01-2025;3056;STHB21;92;SANTA MARTA
04-01-2025;3105;STHK53;92;SANTA MARTA
04-01-2025;7130;SRVG25;92;JUANITA
04-01-2025;3078;STHF54;92;SANTA MARTA
04-01-2025;3117;STHP12;91;SANTA MARTA
04-01-2025;3096;STHK10;92;SANTA MARTA
04-01-2025;7186;STHF36;92;JUANITA
04-01-2025;3083;STHF78;92;SANTA MARTA
04-01-2025;3111;STHL29;92;SANTA MARTA
04-01-2025;7139;SRVG76;92;JUANITA
04-01-2025;3103;STHK38;92;SANTA MARTA
04-01-2025;3103;STHK38;92;SANTA MARTA
04-01-2025;7179;SRVL75;94;JUANITA
04-01-2025;3100;STHK27;91;SANTA MARTA
04-01-2025;3080;STHF70;92;SANTA MARTA
04-01-2025;7167;SRVK61;92;JUANITA
04-01-2025;3085;STHF84;92;SANTA MARTA
04-01-2025;3115;STHL51;91;SANTA MARTA
04-01-2025;7175;SRVL35;92;JUANITA
04-01-2025;3091;STHJ81;93;SANTA MARTA
04-01-2025;3107;STHK69;91;SANTA MARTA
04-01-2025;3063;STHC54;92;SANTA MARTA
04-01-2025;3092;STHJ86;92;SANTA MARTA
04-01-2025;3114;STHL46;91;SANTA MARTA
04-01-2025;3120;STHR18;92;SANTA MARTA
04-01-2025;3061;STHC45;92;SANTA MARTA
04-01-2025;3082;STHF77;93;SANTA MARTA
04-01-2025;7135;SRVG53;92;JUANITA
04-01-2025;3093;STHJ89;92;SANTA MARTA
04-01-2025;3102;STHK36;91;SANTA MARTA
04-01-2025;3104;STHK39;91;SANTA MARTA
04-01-2025;7174;SRVL25;93;JUANITA
04-01-2025;7150;SRVH11;92;JUANITA
04-01-2025;7163;SRVJ82;92;JUANITA
04-01-2025;3121;STHR23;93;SANTA MARTA
04-01-2025;3095;STHJ99;91;SANTA MARTA
04-01-2025;3099;STHK20;91;SANTA MARTA
04-01-2025;3101;STHK28;92;SANTA MARTA
04-01-2025;3052;STGZ28;92;SANTA MARTA
04-01-2025;3087;STHJ61;92;SANTA MARTA
04-01-2025;3086;STHF88;93;SANTA MARTA
04-01-2025;3057;STHB29;91;SANTA MARTA
04-01-2025;3053;STGZ62;92;SANTA MARTA
04-01-2025;3088;STHJ68;92;SANTA MARTA
04-01-2025;3106;STHK62;92;SANTA MARTA
04-01-2025;3094;STHJ98;92;SANTA MARTA
04-01-2025;3125;STHR72;93;SANTA MARTA
04-01-2025;3089;STHJ72;92;SANTA MARTA
04-01-2025;3062;STHC51;93;SANTA MARTA
04-01-2025;3108;STHK70;92;SANTA MARTA
04-01-2025;3126;STHR80;91;SANTA MARTA
04-01-2025;3064;STHC69;93;SANTA MARTA
04-01-2025;3109;STHL11;93;SANTA MARTA
04-01-2025;3060;STHB62;91;SANTA MARTA
04-01-2025;3097;STHK12;92;SANTA MARTA
04-01-2025;3073;STHF31;92;SANTA MARTA
04-01-2025;3084;STHF82;91;SANTA MARTA
04-01-2025;3058;STHB36;92;SANTA MARTA
04-01-2025;3124;STHR60;91;SANTA MARTA
04-01-2025;3112;STHL35;91;SANTA MARTA
04-01-2025;3113;STHL42;92;SANTA MARTA
06-01-2025;3006;SJTD63;90;CONDELL
06-01-2025;3007;SJTD64;91;CONDELL
06-01-2025;3081;STHF76;93;CONDELL
06-01-2025;3065;STHD21;93;CONDELL
06-01-2025;3008;SJTD65;92;CONDELL
06-01-2025;3069;STHD65;91;CONDELL
06-01-2025;3039;SKHG92;92;CONDELL
06-01-2025;3001;SJTD56;91;CONDELL
06-01-2025;3076;STHF45;91;CONDELL
06-01-2025;3051;SPZX58;92;CONDELL
06-01-2025;3006;SJTD63;90;CONDELL
06-01-2025;3007;SJTD64;91;CONDELL
06-01-2025;3081;STHF76;93;CONDELL
06-01-2025;3001;SJTD56;91;CONDELL
06-01-2025;3067;STHD47;92;CONDELL
06-01-2025;3065;STHD21;93;CONDELL
06-01-2025;3079;STHF62;93;CONDELL
06-01-2025;3075;STHF42;93;CONDELL
06-01-2025;3047;SPZX46;91;CONDELL
06-01-2025;3046;SPZX42;92;CONDELL
06-01-2025;3005;SJTD62;91;CONDELL
06-01-2025;3012;SKHF87;91;CONDELL
06-01-2025;3070;STHD72;92;CONDELL
06-01-2025;3049;SPZX55;91;CONDELL
06-01-2025;3020;SKHG39;91;CONDELL
06-01-2025;3022;SKHG42;91;CONDELL
06-01-2025;3039;SKHG92;92;CONDELL
06-01-2025;3033;SKHG79;91;CONDELL
06-01-2025;3042;SPZX34;91;CONDELL
06-01-2025;3014;SKHF92;91;CONDELL
06-01-2025;3010;SKHF49;92;CONDELL
06-01-2025;7165;SRVK11;92;JUANITA
06-01-2025;7189;STHF67;92;JUANITA
06-01-2025;7181;STHC57;93;JUANITA
06-01-2025;7168;SRVK90;92;JUANITA
06-01-2025;7173;SRVL24;92;JUANITA
06-01-2025;7130;SRVG25;92;JUANITA
06-01-2025;7154;SRVH45;93;JUANITA
06-01-2025;7172;SRVL21;92;JUANITA
06-01-2025;7156;SRVH73;93;JUANITA
06-01-2025;7164;SRVJ90;92;JUANITA
06-01-2025;7138;SRVG70;92;JUANITA
06-01-2025;7134;SRVG49;92;JUANITA
06-01-2025;7169;SRVK97;92;JUANITA
06-01-2025;7122;SRVF76;92;JUANITA
06-01-2025;7158;SRVJ39;92;JUANITA
06-01-2025;7145;SRVG91;92;JUANITA
06-01-2025;7183;STHD12;92;JUANITA
06-01-2025;7147;SRVG94;92;JUANITA
06-01-2025;7125;SRVF83;92;JUANITA
06-01-2025;7071;SPZY41;92;JUANITA
06-01-2025;3040;SKHG93;91;CONDELL
06-01-2025;3035;SKHG82;91;CONDELL
06-01-2025;3028;SKHG65;91;CONDELL
06-01-2025;3044;SPZX39;92;CONDELL
06-01-2025;3003;SJTD58;92;CONDELL
06-01-2025;7050;SPZX80;91;PIE ANDINO
06-01-2025;3018;SKHG33;94;CONDELL
06-01-2025;7090;SPZY64;91;PIE ANDINO
06-01-2025;7048;SPZX78;91;PIE ANDINO
06-01-2025;7119;SRVL70;92;PIE ANDINO
06-01-2025;3048;SPZX51;92;CONDELL
06-01-2025;7058;SPZX96;91;PIE ANDINO
06-01-2025;7101;SPZY79;92;PIE ANDINO
06-01-2025;7115;SRVK82;92;PIE ANDINO
06-01-2025;7102;SPZY81;92;PIE ANDINO
06-01-2025;7033;SPZX63;92;PIE ANDINO
06-01-2025;7049;SPZX79;91;PIE ANDINO
06-01-2025;7067;SPZY27;91;PIE ANDINO
06-01-2025;7063;SPZY18;92;PIE ANDINO
06-01-2025;7072;SPZY42;91;PIE ANDINO
06-01-2025;3031;SKHG73;91;CONDELL
06-01-2025;7041;SPZX71;92;PIE ANDINO
06-01-2025;3013;SKHF91;91;CONDELL
06-01-2025;7084;SPZY57;92;PIE ANDINO
06-01-2025;3050;SPZX56;92;CONDELL
06-01-2025;3026;SKHG59;90;CONDELL
06-01-2025;7104;SPZY86;93;PIE ANDINO
06-01-2025;7120;SRVL81;92;PIE ANDINO
06-01-2025;7042;SPZX72;92;PIE ANDINO
06-01-2025;3037;SKHG89;92;CONDELL
06-01-2025;7051;SPZX81;91;PIE ANDINO
06-01-2025;7027;SPZX48;91;PIE ANDINO
06-01-2025;3074;STHF35;92;CONDELL
06-01-2025;3036;SKHG85;91;CONDELL
06-01-2025;3038;SKHG90;92;CONDELL
06-01-2025;3034;SKHG80;91;CONDELL
06-01-2025;3071;STHF13;92;CONDELL
06-01-2025;3043;SPZX36;92;CONDELL
06-01-2025;3066;STHD35;92;CONDELL
06-01-2025;3069;STHD65;91;CONDELL
06-01-2025;3011;SKHF84;91;CONDELL
06-01-2025;3004;SJTD61;91;CONDELL
07-01-2025;7166;SRVK42;92;JUANITA
07-01-2025;7161;SRVJ64;94;JUANITA
07-01-2025;7185;STHD26;94;JUANITA
07-01-2025;7133;SRVG48;92;JUANITA
07-01-2025;7155;SRVH71;94;JUANITA
07-01-2025;7157;SRVJ34;92;JUANITA
07-01-2025;7141;SRVG81;91;JUANITA
07-01-2025;3029;SKHG69;91;CONDELL
07-01-2025;7025;SPZX43;92;JUANITA
07-01-2025;3019;SKHG37;91;CONDELL
07-01-2025;7153;SRVH22;92;JUANITA
07-01-2025;7182;STHC95;92;JUANITA
07-01-2025;7128;SRVF96;92;JUANITA
07-01-2025;7163;SRVJ82;92;JUANITA
07-01-2025;3072;STHF15;92;CONDELL
07-01-2025;7127;SRVF90;92;JUANITA
07-01-2025;7108;SRVJ10;92;JUANITA
07-01-2025;7151;SRVH13;92;JUANITA
07-01-2025;7167;SRVK61;92;JUANITA
07-01-2025;7184;STHD50;94;JUANITA
07-01-2025;7177;SRVL45;92;JUANITA
07-01-2025;7179;SRVL75;93;JUANITA
07-01-2025;3015;SKHG14;91;CONDELL
07-01-2025;3077;STHF49;92;CONDELL
07-01-2025;3021;SKHG40;91;CONDELL
07-01-2025;3032;SKHG74;91;CONDELL
07-01-2025;3024;SKHG55;90;CONDELL
07-01-2025;3068;STHD54;93;CONDELL
07-01-2025;3059;STHB50;91;CONDELL
07-01-2025;3027;SKHG62;91;CONDELL
07-01-2025;7124;SRVF81;92;JUANITA
07-01-2025;7194;;92;
07-01-2025;7126;SRVF84;92;JUANITA
07-01-2025;7136;SRVG65;92;JUANITA
07-01-2025;3045;SPZX41;91;CONDELL
07-01-2025;7139;SRVG76;92;JUANITA
07-01-2025;7123;SRVF79;92;JUANITA
07-01-2025;7160;SRVJ55;94;JUANITA
07-01-2025;7159;SRVJ43;94;JUANITA
07-01-2025;7180;SRVL78;92;JUANITA
07-01-2025;7028;SPZX52;92;JUANITA
07-01-2025;7161;SRVJ64;94;JUANITA
07-01-2025;7146;SRVG92;92;JUANITA
07-01-2025;7140;SRVG77;92;JUANITA
07-01-2025;7187;STHF56;93;JUANITA
07-01-2025;7186;STHF36;92;JUANITA
07-01-2025;7137;SRVG68;92;JUANITA
07-01-2025;7132;SRVG44;92;JUANITA
07-01-2025;7129;SRVG10;92;JUANITA
07-01-2025;3002;SJTD57;91;CONDELL
07-01-2025;3023;SKHG47;91;CONDELL
07-01-2025;7175;SRVL35;92;JUANITA
07-01-2025;7142;SRVG83;92;JUANITA
07-01-2025;7171;SRVL15;92;JUANITA
07-01-2025;7149;SRVH10;94;JUANITA
07-01-2025;7178;SRVL72;92;JUANITA
07-01-2025;7126;SRVF84;92;JUANITA
07-01-2025;7176;SRVL40;92;JUANITA
07-01-2025;3088;STHJ68;92;SANTA MARTA
07-01-2025;3106;STHK62;91;SANTA MARTA
07-01-2025;3104;STHK39;91;SANTA MARTA
07-01-2025;3060;STHB62;91;SANTA MARTA
07-01-2025;3126;STHR80;91;SANTA MARTA
07-01-2025;3054;STGZ85;92;SANTA MARTA
07-01-2025;3057;STHB29;91;SANTA MARTA
07-01-2025;3086;STHF88;93;SANTA MARTA
07-01-2025;3090;STHJ74;93;SANTA MARTA
07-01-2025;3062;STHC51;92;SANTA MARTA
07-01-2025;3103;STHK38;92;SANTA MARTA
07-01-2025;3058;STHB36;92;SANTA MARTA
07-01-2025;3102;STHK36;91;SANTA MARTA
07-01-2025;3122;STHR36;91;SANTA MARTA
07-01-2025;3053;STGZ62;92;SANTA MARTA
07-01-2025;3052;STGZ28;92;SANTA MARTA
07-01-2025;3124;STHR60;91;SANTA MARTA
07-01-2025;3111;STHL29;92;SANTA MARTA
07-01-2025;3108;STHK70;92;SANTA MARTA
07-01-2025;3055;STHB12;92;SANTA MARTA
07-01-2025;3063;STHC54;92;SANTA MARTA
07-01-2025;3115;STHL51;91;SANTA MARTA
07-01-2025;3113;STHL42;92;SANTA MARTA
07-01-2025;3107;STHK69;91;SANTA MARTA
07-01-2025;3089;STHJ72;92;SANTA MARTA
07-01-2025;3110;STHL27;92;SANTA MARTA
07-01-2025;3082;STHF77;93;SANTA MARTA
07-01-2025;3123;STHR46;92;SANTA MARTA
07-01-2025;3101;STHK28;92;SANTA MARTA
07-01-2025;3093;STHJ89;92;SANTA MARTA
07-01-2025;3087;STHJ61;92;SANTA MARTA
07-01-2025;3099;STHK20;91;SANTA MARTA
07-01-2025;3109;STHL11;92;SANTA MARTA
07-01-2025;3125;STHR72;92;SANTA MARTA
07-01-2025;3073;STHF31;92;SANTA MARTA
07-01-2025;3096;STHK10;92;SANTA MARTA
07-01-2025;3080;STHF70;92;SANTA MARTA
07-01-2025;3098;STHK13;92;SANTA MARTA
07-01-2025;3117;STHP12;91;SANTA MARTA
07-01-2025;3092;STHJ86;92;SANTA MARTA
07-01-2025;3116;STHL95;92;SANTA MARTA
07-01-2025;3116;STHL95;92;SANTA MARTA
07-01-2025;3118;STHP52;93;SANTA MARTA
07-01-2025;3083;STHF78;92;SANTA MARTA
07-01-2025;3120;STHR18;92;SANTA MARTA
07-01-2025;3112;STHL35;91;SANTA MARTA
07-01-2025;3114;STHL46;91;SANTA MARTA
07-01-2025;3100;STHK27;91;SANTA MARTA
07-01-2025;3061;STHC45;92;SANTA MARTA
07-01-2025;3061;STHC45;92;SANTA MARTA
07-01-2025;3084;STHF82;91;SANTA MARTA
07-01-2025;3105;STHK53;92;SANTA MARTA
07-01-2025;3119;STHP97;92;SANTA MARTA
07-01-2025;3056;STHB21;92;SANTA MARTA
07-01-2025;3095;STHJ99;91;SANTA MARTA
07-01-2025;3078;STHF54;92;SANTA MARTA
07-01-2025;3085;STHF84;92;SANTA MARTA
07-01-2025;3097;STHK12;92;SANTA MARTA
07-01-2025;3030;SKHG70;91;CONDELL
07-01-2025;3121;STHR23;93;SANTA MARTA
07-01-2025;3064;STHC69;93;SANTA MARTA
07-01-2025;7118;SRVL59;91;PIE ANDINO
07-01-2025;7074;SPZY44;92;PIE ANDINO
07-01-2025;7109;SRVJ17;93;PIE ANDINO
07-01-2025;7105;SPZY87;93;PIE ANDINO
07-01-2025;7095;SPZY69;91;PIE ANDINO
07-01-2025;7036;SPZX66;92;PIE ANDINO
07-01-2025;7053;SPZX83;91;PIE ANDINO
07-01-2025;7080;SPZY53;91;PIE ANDINO
07-01-2025;7047;SPZX77;91;PIE ANDINO
07-01-2025;7081;SPZY54;92;PIE ANDINO
07-01-2025;7065;SPZY24;92;PIE ANDINO
07-01-2025;7039;SPZX69;92;PIE ANDINO
07-01-2025;7050;SPZX80;91;PIE ANDINO
07-01-2025;7085;SPZY58;94;PIE ANDINO
07-01-2025;7087;SPZY60;91;PIE ANDINO
07-01-2025;7032;SPZX62;92;PIE ANDINO
07-01-2025;7114;SRVK73;91;PIE ANDINO
07-01-2025;7099;SPZY75;91;PIE ANDINO
07-01-2025;7070;SPZY37;91;PIE ANDINO
07-01-2025;7037;SPZX67;92;PIE ANDINO
07-01-2025;7034;SPZX64;92;PIE ANDINO
07-01-2025;7112;SRVJ72;91;PIE ANDINO
07-01-2025;7026;SPZX47;91;PIE ANDINO
07-01-2025;7066;SPZY25;91;PIE ANDINO
07-01-2025;7096;SPZY70;92;PIE ANDINO
07-01-2025;7060;SPZY13;92;PIE ANDINO
07-01-2025;7076;SPZY48;91;PIE ANDINO
07-01-2025;7083;SPZY56;92;PIE ANDINO
07-01-2025;7103;SPZY85;91;PIE ANDINO
07-01-2025;7077;SPZY49;95;PIE ANDINO
07-01-2025;7073;SPZY43;91;PIE ANDINO
07-01-2025;7093;SPZY67;91;PIE ANDINO
07-01-2025;7044;SPZX74;91;PIE ANDINO
07-01-2025;7055;SPZX85;92;PIE ANDINO
07-01-2025;7056;SPZX93;91;PIE ANDINO
07-01-2025;7098;SPZY72;92;PIE ANDINO
07-01-2025;7064;SPZY23;92;PIE ANDINO
07-01-2025;7100;SPZY78;92;PIE ANDINO
07-01-2025;7043;SPZX73;92;PIE ANDINO
07-01-2025;7116;SRVL13;93;PIE ANDINO
07-01-2025;7106;SRVH33;92;PIE ANDINO
07-01-2025;7078;SPZY50;91;PIE ANDINO
07-01-2025;7062;SPZY16;92;PIE ANDINO
07-01-2025;7113;SRVK25;93;PIE ANDINO
07-01-2025;7061;SPZY15;91;PIE ANDINO
07-01-2025;7111;SRVJ48;92;PIE ANDINO
07-01-2025;7030;SPZX57;92;PIE ANDINO
07-01-2025;7059;SPZX98;92;PIE ANDINO
07-01-2025;7086;SPZY59;93;PIE ANDINO
07-01-2025;7052;SPZX82;91;PIE ANDINO
07-01-2025;7091;SPZY65;91;PIE ANDINO
07-01-2025;7110;SRVJ25;91;PIE ANDINO
07-01-2025;7035;SPZX65;92;PIE ANDINO
07-01-2025;7029;SPZX53;91;PIE ANDINO
07-01-2025;7038;SPZX68;91;PIE ANDINO
07-01-2025;7079;SPZY51;91;PIE ANDINO
07-01-2025;7069;SPZY31;91;PIE ANDINO
07-01-2025;7057;SPZX95;91;PIE ANDINO
07-01-2025;7082;SPZY55;92;PIE ANDINO
07-01-2025;7089;SPZY63;92;PIE ANDINO
07-01-2025;7046;SPZX76;91;PIE ANDINO
07-01-2025;7088;SPZY61;91;PIE ANDINO
07-01-2025;7054;SPZX84;91;PIE ANDINO
07-01-2025;7068;SPZY28;92;PIE ANDINO
07-01-2025;7097;SPZY71;92;PIE ANDINO
07-01-2025;7075;SPZY45;91;PIE ANDINO
